,Rk,Year,Player,Pos,AV,School,College,HE ,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2015,Ramik Wilson,LB,15.0,Georgia,College Stats,2-Jun,6'2,237,4.77,35.0,23.0,111.0,,4.51,Kansas City Chiefs / 4th / 118th pick / 2015
1,2,2015,Damien Wilson,LB,12.0,Minnesota,College Stats,Jun-00,6'1,245,4.77,37.0,22.0,119.0,7.21,4.2,Dallas Cowboys / 4th / 127th pick / 2015
2,3,2015,Martrell Spaight,LB,6.0,Arkansas,College Stats,Jun-00,6'1,236,4.81,35.0,25.0,120.0,7.66,,Washington Redskins / 5th / 141st pick / 2015
3,4,2015,Hayes Pullard,LB,9.0,Southern California,College Stats,Jun-00,6'1,240,4.78,31.0,19.0,110.0,7.07,4.39,Cleveland Browns / 7th / 219th pick / 2015
4,5,2015,Denzel Perryman,LB,18.0,Miami (FL),College Stats,11-May,5'11,236,4.78,32.0,27.0,113.0,,,San Diego Chargers / 2nd / 48th pick / 2015
5,6,2015,Benardrick McKinney,LB,37.0,Mississippi State,College Stats,4-Jun,6'4,246,4.66,40.5,16.0,121.0,7.21,4.27,Houston Texans / 2nd / 43rd pick / 2015
6,7,2015,Eric Kendricks,LB,32.0,UCLA,College Stats,Jun-00,6'1,232,4.61,38.0,19.0,124.0,,,Minnesota Vikings / 2nd / 45th pick / 2015
7,8,2015,Taiwan Jones,LB,0.0,Michigan State,College Stats,3-Jun,6'3,245,4.95,32.0,19.0,115.0,7.25,4.33,
8,9,2015,Amarlo Herrera,LB,0.0,Georgia,College Stats,1-Jun,6'1,244,4.83,32.0,23.0,111.0,7.35,4.27,Indianapolis Colts / 6th / 207th pick / 2015
9,10,2015,Ben Heeney,LB,3.0,Kansas,College Stats,Jun-00,6'1,231,4.59,33.5,19.0,120.0,6.68,4.0,Oakland Raiders / 5th / 140th pick / 2015
10,11,2015,Bryce Hager,LB,5.0,Baylor,College Stats,1-Jun,6'1,234,4.6,35.0,26.0,117.0,7.15,4.36,St. Louis Rams / 7th / 224th pick / 2015
11,12,2015,Trey DePriest,LB,,Alabama,College Stats,Jun-00,6'1,254,4.93,,,,,,
12,13,2015,Paul Dawson,LB,1.0,TCU,College Stats,Jun-00,6'1,235,4.93,28.0,21.0,109.0,,4.49,Cincinnati Bengals / 3rd / 99th pick / 2015
13,14,2015,Stephone Anthony,LB,10.0,Clemson,College Stats,3-Jun,6'3,243,4.56,37.0,23.0,122.0,7.07,4.03,New Orleans Saints / 1st / 31st pick / 2015
14,15,2014,Avery Williamson,LB,36.0,Kentucky,College Stats,1-Jun,6'1,246,4.66,30.5,25.0,120.0,7.11,4.07,Tennessee Titans / 5th / 151st pick / 2014
15,16,2014,Yawin Smallwood,LB,,Connecticut,College Stats,2-Jun,6'2,246,,36.5,18.0,108.0,,,Atlanta Falcons / 7th / 253rd pick / 2014
16,17,2014,Shayne Skov,LB,1.0,Stanford,College Stats,2-Jun,6'2,245,5.09,,,,,,
17,18,2014,C.J. Mosley,LB,65.0,Alabama,College Stats,2-Jun,6'2,234,4.65,35.0,,118.0,7.3,4.4,Baltimore Ravens / 1st / 17th pick / 2014
18,19,2014,James Morris,LB,0.0,Iowa,College Stats,1-Jun,6'1,241,4.8,34.5,18.0,117.0,6.94,4.36,
19,20,2014,Andrew Jackson,LB,1.0,Western Kentucky,College Stats,1-Jun,6'1,254,4.9,,,,,,Indianapolis Colts / 6th / 203rd pick / 2014
20,21,2014,Jeremiah George,LB,3.0,Iowa State,College Stats,11-May,5'11,234,4.91,33.0,28.0,116.0,,,New York Jets / 5th / 154th pick / 2014
21,22,2014,Max Bullough,LB,4.0,Michigan State,College Stats,3-Jun,6'3,249,4.78,31.0,30.0,112.0,7.22,4.3,
22,23,2014,Preston Brown,LB,34.0,Louisville,College Stats,1-Jun,6'1,251,4.86,33.0,23.0,116.0,6.98,4.26,Buffalo Bills / 3rd / 73rd pick / 2014
23,24,2014,Chris Borland,LB,6.0,Wisconsin,College Stats,11-May,5'11,248,4.83,31.0,27.0,114.0,7.18,4.27,San Francisco 49ers / 3rd / 77th pick / 2014
24,25,2014,Lamin Barrow,LB,2.0,LSU,College Stats,1-Jun,6'1,237,4.64,35.0,22.0,123.0,7.24,4.35,Denver Broncos / 5th / 156th pick / 2014
25,26,2014,Uani' Unga,LB,,BYU,,1-Jun,6'1,231,4.82,,,,,,
26,27,2013,Manti Te'o,LB,22.0,Notre Dame,College Stats,1-Jun,6'1,241,4.82,33.0,,113.0,7.13,4.27,San Diego Chargers / 2nd / 38th pick / 2013
27,28,2013,Bruce Taylor,LB,,Virginia Tech,College Stats,1-Jun,6'1,237,5.01,30.5,19.0,115.0,7.21,4.39,
28,29,2013,Jonathan Stewart,LB,,Texas A&M,College Stats,4-Jun,6'4,242,4.68,31.0,19.0,118.0,7.44,4.53,
29,30,2013,Kevin Reddick,LB,1.0,North Carolina,College Stats,1-Jun,6'1,243,4.72,,23.0,113.0,,,
30,31,2013,Keith Pough,LB,,Howard,,2-Jun,6'2,239,4.87,33.0,17.0,118.0,7.28,4.47,
31,32,2013,Kevin Minter,LB,25.0,LSU,College Stats,Jun-00,6'1,246,4.81,33.0,25.0,119.0,,,Arizona Cardinals / 2nd / 45th pick / 2013
32,33,2013,A.J. Klein,LB,25.0,Iowa State,College Stats,1-Jun,6'1,250,4.66,,20.0,113.0,,,Carolina Panthers / 5th / 148th pick / 2013
33,34,2013,Nico Johnson,LB,3.0,Alabama,College Stats,2-Jun,6'2,248,4.73,,,,,,Kansas City Chiefs / 4th / 99th pick / 2013
34,35,2013,Jelani Jenkins,LB,17.0,Florida,College Stats,Jun-00,6'1,243,4.65,,27.0,,,,Miami Dolphins / 4th / 104th pick / 2013
35,36,2013,Brandon Hepburn,LB,,Florida A&M,,2-Jun,6'2,240,4.68,32.0,21.0,124.0,7.4,4.55,Detroit Lions / 7th / 245th pick / 2013
36,37,2013,Steve Beauharnais,LB,0.0,Rutgers,College Stats,1-Jun,6'1,240,4.84,33.0,19.0,118.0,6.99,4.2,New England Patriots / 7th / 235th pick / 2013
37,38,2013,Sam Barrington,LB,4.0,South Florida,College Stats,1-Jun,6'1,246,4.91,32.5,22.0,117.0,,,Green Bay Packers / 7th / 232nd pick / 2013
38,39,2013,Kiko Alonso,LB,33.0,Oregon,College Stats,3-Jun,6'3,238,4.74,,,,,,Buffalo Bills / 2nd / 46th pick / 2013
39,40,2013,Tom Wort,LB,,Oklahoma,College Stats,Jun-00,6'1,235,4.78,31.5,21.0,111.0,7.41,4.51,
40,41,2012,Keenan Robinson,LB,19.0,Texas,College Stats,3-Jun,6'3,242,4.72,35.5,27.0,120.0,,,Washington Redskins / 4th / 119th pick / 2012
41,42,2012,Caleb McSurdy,LB,0.0,Montana,,1-Jun,6'1,245,4.82,30.0,26.0,110.0,7.26,4.28,Dallas Cowboys / 7th / 222nd pick / 2012
42,43,2012,Shawn Loiseau,LB,0.0,Merrimack,,Jun-00,6'1,244,4.74,32.5,19.0,109.0,,,
43,44,2012,Luke Kuechly,LB,96.0,Boston College,College Stats,3-Jun,6'3,242,4.58,38.0,27.0,123.0,6.92,4.12,Carolina Panthers / 1st / 9th pick / 2012
44,45,2012,Mychal Kendricks,LB,38.0,California,College Stats,11-May,5'11,239,4.44,39.5,24.0,127.0,,4.19,Philadelphia Eagles / 2nd / 46th pick / 2012
45,46,2012,James-Michael Johnson,LB,11.0,Nevada,College Stats,1-Jun,6'1,241,4.6,37.0,23.0,124.0,7.34,4.37,Cleveland Browns / 4th / 120th pick / 2012
46,47,2012,Dont'a Hightower,LB,53.0,Alabama,College Stats,2-Jun,6'2,265,4.62,32.0,,,,,New England Patriots / 1st / 25th pick / 2012
47,48,2012,Najee Goode,LB,9.0,West Virginia,College Stats,Jun-00,6'1,244,4.55,35.5,,117.0,,,Tampa Bay Buccaneers / 5th / 140th pick / 2012
48,49,2012,Audie Cole,LB,6.0,North Carolina State,College Stats,4-Jun,6'4,246,4.76,35.0,15.0,114.0,6.96,4.29,Minnesota Vikings / 7th / 210th pick / 2012
49,50,2012,Tank Carder,LB,5.0,TCU,College Stats,2-Jun,6'2,236,4.58,34.5,19.0,121.0,6.89,4.18,Buffalo Bills / 5th / 147th pick / 2012
50,51,2012,Vontaze Burfict,LB,48.0,Arizona State,College Stats,1-Jun,6'1,248,5.0,30.0,,104.0,,,
51,52,2012,Chris Galippo,LB,,Southern California,College Stats,1-Jun,6'1,241,4.73,29.5,19.0,107.0,6.9,4.1,
52,53,2011,Martez Wilson,LB,3.0,Illinois,College Stats,4-Jun,6'4,250,4.42,36.0,23.0,124.0,7.04,4.28,New Orleans Saints / 3rd / 72nd pick / 2011
53,54,2011,Chris White,LB,4.0,Mississippi State,College Stats,3-Jun,6'3,240,4.65,34.0,17.0,115.0,6.95,4.25,Buffalo Bills / 6th / 169th pick / 2011
54,55,2011,Quan Sturdivant,LB,0.0,North Carolina,College Stats,1-Jun,6'1,241,4.75,34.0,21.0,115.0,,4.5,Arizona Cardinals / 6th / 171st pick / 2011
55,56,2011,Derrell Smith,LB,,Syracuse,College Stats,Jun-00,6'1,243,4.76,,,,,,
56,57,2011,Kelvin Sheppard,LB,30.0,LSU,College Stats,2-Jun,6'2,250,4.7,33.5,22.0,110.0,,4.28,Buffalo Bills / 3rd / 68th pick / 2011
57,58,2011,Mike Mohamed,LB,4.0,California,College Stats,3-Jun,6'3,239,4.65,32.0,21.0,115.0,6.7,4.0,Denver Broncos / 6th / 189th pick / 2011
58,59,2011,Colin McCarthy,LB,11.0,Miami (FL),College Stats,1-Jun,6'1,238,4.59,36.5,23.0,119.0,6.93,4.2,Tennessee Titans / 4th / 109th pick / 2011
59,60,2011,Casey Matthews,LB,10.0,Oregon,College Stats,1-Jun,6'1,231,4.78,,13.0,,,,Philadelphia Eagles / 4th / 116th pick / 2011
60,61,2011,Greg Lloyd,LB,0.0,Connecticut,College Stats,1-Jun,6'1,246,4.8,32.0,22.0,109.0,7.17,4.46,Philadelphia Eagles / 7th / 237th pick / 2011
61,62,2011,Orie Lemon,LB,4.0,Oklahoma State,College Stats,1-Jun,6'1,242,4.87,30.0,27.0,113.0,7.45,4.4,
62,63,2011,Elijah Joseph,LB,,Temple,College Stats,1-Jun,6'1,243,4.8,,,,,,
63,64,2011,Greg Jones,LB,3.0,Michigan State,College Stats,Jun-00,6'1,242,4.75,31.5,21.0,117.0,7.27,4.27,New York Giants / 6th / 185th pick / 2011
64,65,2011,Nate Irving,LB,10.0,North Carolina State,College Stats,1-Jun,6'1,240,4.74,,,,,,Denver Broncos / 3rd / 67th pick / 2011
65,66,2011,Akeem Dent,LB,18.0,Georgia,College Stats,1-Jun,6'1,242,4.73,37.5,24.0,123.0,,,Atlanta Falcons / 3rd / 91st pick / 2011
66,67,2011,Nick Bellore,LB,14.0,Central Michigan,College Stats,1-Jun,6'1,245,4.84,32.5,23.0,109.0,6.98,4.0,
67,68,2010,Kion Wilson,LB,1.0,South Florida,College Stats,Jun-00,6'1,239,4.87,36.5,27.0,123.0,,4.53,
